Date,Open,High,Low,Close,Adj Close,Volume
2018-01-05,1.207500,1.208850,1.203000,1.205350,1.205350,3205
2018-01-07,null,null,null,null,null,null
2018-01-08,1.205500,1.205500,1.196200,1.196800,1.196800,2329
2018-01-09,1.197550,1.197550,1.192000,1.193500,1.193500,2093
2018-01-10,1.193500,1.202000,1.192750,1.196150,1.196150,2696
2018-01-11,1.196000,1.205800,1.193000,1.204000,1.204000,1814
2018-01-12,1.203500,1.214500,1.203500,1.214500,1.214500,1207
2018-01-14,null,null,null,null,null,null
2018-01-16,1.223700,1.231900,1.221500,1.229600,1.229600,530
2018-01-17,1.229900,1.233950,1.221000,1.226300,1.226300,1907
2018-01-18,1.218900,1.228400,1.218900,1.226600,1.226600,1201
2018-01-19,1.226300,1.231500,1.224000,1.225450,1.225450,1455
2018-01-21,null,null,null,null,null,null
2018-01-22,1.226950,1.228750,1.223750,1.227900,1.227900,1284
2018-01-23,1.227850,1.231950,1.224550,1.231500,1.231500,1183
2018-01-24,1.231800,1.243250,1.231000,1.242400,1.242400,1417
2018-01-25,1.242100,1.255000,1.238250,1.240750,1.240750,901
2018-01-26,1.240700,1.251000,1.240700,1.243900,1.243900,1639
2018-01-28,null,null,null,null,null,null
2018-01-29,1.243400,1.244350,1.236000,1.240550,1.240550,949
2018-01-30,1.239700,1.246700,1.235000,1.242000,1.242000,1506
2018-01-31,1.241800,1.248300,1.240800,1.242600,1.242600,1883
2018-02-01,1.243900,1.253150,1.240750,1.251600,1.251600,1609
2018-02-02,1.251800,1.252550,1.242650,1.246400,1.246400,3077
2018-02-04,null,null,null,null,null,null
2018-02-05,1.244650,1.248200,1.237850,1.241000,1.241000,1917
2018-02-06,1.238550,1.243400,1.232500,1.240250,1.240250,2013
2018-02-07,1.239150,1.241000,1.225650,1.228400,1.228400,2158
2018-02-08,1.226200,1.230050,1.222800,1.226950,1.226950,242
2018-02-09,1.226550,1.228050,1.221900,1.223750,1.223750,3360
2018-02-11,null,null,null,null,null,null
2018-02-12,1.225450,1.229900,1.224250,1.228700,1.228700,2198
2018-02-13,1.230000,1.237200,1.229350,1.235900,1.235900,2396
2018-02-14,1.235300,1.245950,1.228200,1.244100,1.244100,1901
2018-02-15,1.245800,1.251000,1.245800,1.250750,1.250750,2398
2018-02-16,1.252000,1.254000,1.243600,1.244400,1.244400,1101
2018-02-18,null,null,null,null,null,null
2018-02-20,1.243350,1.245750,1.234050,1.235650,1.235650,233936
